iter	Passed	Remaining
600	2130	1414
601	2137	1412
602	2143	1411
603	2149	1409
604	2154	1406
605	2158	1403
606	2162	1400
607	2166	1396
608	2170	1393
609	2174	1390
610	2178	1386
611	2181	1383
612	2185	1380
613	2190	1376
614	2194	1373
615	2198	1370
616	2202	1367
617	2206	1363
618	2209	1360
619	2213	1356
620	2217	1353
621	2220	1349
622	2223	1345
623	2227	1342
624	2231	1338
625	2235	1335
626	2238	1331
627	2241	1327
628	2244	1324
629	2248	1320
630	2251	1316
631	2255	1313
632	2259	1309
633	2262	1306
634	2265	1302
635	2269	1298
636	2273	1295
637	2277	1292
638	2282	1289
639	2287	1286
640	2291	1283
641	2294	1279
642	2298	1276
643	2301	1272
644	2305	1269
645	2309	1265
646	2312	1261
647	2316	1258
648	2320	1254
649	2324	1251
650	2328	1248
651	2331	1244
652	2334	1240
653	2338	1237
654	2342	1234
655	2347	1230
656	2350	1227
657	2354	1223
658	2358	1220
659	2362	1216
660	2366	1213
661	2370	1210
662	2373	1206
663	2377	1203
664	2381	1199
665	2385	1196
666	2389	1192
667	2392	1189
668	2396	1185
669	2400	1182
670	2404	1178
671	2408	1175
672	2414	1172
673	2419	1170
674	2424	1167
675	2428	1164
676	2432	1160
677	2436	1157
678	2440	1153
679	2444	1150
680	2447	1146
681	2451	1142
682	2454	1139
683	2458	1135
684	2462	1132
685	2466	1128
686	2470	1125
687	2473	1121
688	2477	1118
689	2481	1114
690	2484	1111
691	2488	1107
692	2496	1105
693	2502	1103
694	2508	1100
695	2514	1098
696	2521	1095
697	2526	1092
698	2531	1090
699	2536	1086
700	2539	1083
701	2543	1079
702	2548	1076
703	2554	1073
704	2557	1070
705	2561	1066
706	2564	1062
707	2567	1059
708	2571	1055
709	2574	1051
710	2577	1047
711	2580	1043
712	2584	1040
713	2587	1036
714	2591	1033
715	2595	1029
716	2598	1025
717	2602	1022
718	2606	1018
719	2610	1015
720	2614	1011
721	2617	1007
722	2621	1004
723	2624	1000
724	2628	996
725	2631	993
726	2635	989
727	2639	986
728	2643	982
729	2646	978
730	2651	975
731	2655	972
732	2659	968
733	2664	965
734	2668	961
735	2672	958
736	2676	955
737	2680	951
738	2684	948
739	2688	944
740	2692	940
